Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
7839_at	YPL096W hypothetical protein	"Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation, localizes to the cytoplasm and nucleus, interacts with the DNA repair protein Rad23p"	PNG1	YPL096W	Q02890	S000006017
7840_at	YPL095C strong similarity to YBR177c	Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification	EEB1	YPL095C	Q02891	S000006016
7841_at	YPL094C membrane component of ER protein translocation apparatus	"Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"	SEC62	YPL094C	P21825	S000006015
7842_at	"YPL093W similarity to M.jannaschii GTP-binding protein, GTP1/OBG-family, weak similarity to other GTP-binding proteins"	Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins	NOG1	YPL093W	Q02892	S000006014
7843_at	YPL092W sensitive to sulfite	Plasma membrane sulfite pump involved in sulfite metabolism and required for efficient sulfite efflux; major facilitator superfamily protein	SSU1	YPL092W	P41930	S000006013
7844_at	YPL091W Glutathione oxidoreductase	"Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione"	GLR1	YPL091W	P41921	S000006012
7845_s_at	YPL090C Ribosomal protein S6A (S10A) (rp9) (YS4)	Protein component of the small (40S) ribosomal subunit; identical to Rps6Bp and has similarity to rat S6 ribosomal protein /// Protein component of the small (40S) ribosomal subunit; identical to Rps6Ap and has similarity to rat S6 ribosomal protein	RPS6A /// RPS6B	YBR181C /// YPL090C	P02365	S000000385 /// S000006011
7846_at	YPL089C serum response factor-like protein	"MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p"	RLM1	YPL089C	Q12224	S000006010
7847_at	YPL088W similarity to aryl-alcohol dehydrogenases	---	---	YPL088W	Q02895	S000006009
7848_at	YPL087W strong similarity to YBR183w	"Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity"	YDC1	YPL087W	Q02896	S000006008
7849_at	YPL086C Histone and other Protein Acetyltransferase\; Has sequence homology to known HATs and NATs	"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; exhibits histone acetyltransferase activity that is directed to histones H3 and H4; disruption confers resistance to K. lactis zymotoxin"	ELP3	YPL086C	Q02908	S000006007
7850_at	YPL085W multidomain vesicle coat protein that interacts with Sec23p	"COPII vesicle coat protein required for ER transport vesicle budding and autophagosome formation; Sec16p is bound to the periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p, Sec24p and Sec31p"	SEC16	YPL085W	P48415	S000006006
7851_at	YPL084W BCK1-like resistance to osmotic shock	Cytoplasmic class E vacuolar protein sorting (VPS) factor that coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes	BRO1	YPL084W	P48582	S000006005
7852_at	YPL083C 54kDa subunit of the tetrameric tRNA splicing endonuclease	"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p"	SEN54	YPL083C	Q02825	S000006004
7853_at	YPL082C putative helicase	"Essential abundant protein involved in regulation of transcription, removes Spt15p (TBP) from DNA via its C-terminal ATPase activity, forms a complex with TBP that binds TATA DNA with high affinity but with altered specificity"	MOT1	YPL082C	P32333	S000006003
7854_i_at	YPL081W Ribosomal protein S9A (S13) (rp21) (YS11)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps9Bp and has similarity to E. coli S4 and rat S9 ribosomal proteins	RPS9A	YPL081W	O13516	S000006002
7855_f_at	YPL081W Ribosomal protein S9A (S13) (rp21) (YS11)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps9Bp and has similarity to E. coli S4 and rat S9 ribosomal proteins	RPS9A	YPL081W	O13516	S000006002
7856_at	YPL080C hypothetical protein	---	---	YPL080C	Q02826	S000006001
7857_at	YPL123C similarity to ribonucleases	RNAse; member of the T(2) family of endoribonucleases	RNY1	YPL123C	Q02933	S000006044
7858_at	YPL122C TFIIH subunit Tfb2\; has homology to CAK and human IIH subunits	"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, involved in transcription initiation, required for nucleotide excision repair, similar to 52 kDa subunit of human TFIIH"	TFB2	YPL122C	Q02939	S000006043
7859_at	YPL121C Meiotic protein required for synapsis and meiotic recombination	"Meiosis specific protein involved in DMC1-dependent meiotic recombination, forms heterodimer with Sae3p; proposed to be an assembly factor for Dmc1p"	MEI5	YPL121C	P32489	S000006042
7860_at	YPL120W Required for sorting and delivery of soluble hydrolases to the vacuole.	Subunit of phosphatidylinositol (PtdIns) 3-kinase complexes I and II; Complex I is essential in autophagy and Complex II is required for vacuolar protein sorting; ortholog of the higher eukaryotic gene Beclin 1	VPS30	YPL120W	Q02948	S000006041
7861_at	YPL119C putative ATP-dependent RNA helicase\; Dead box protein	Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs	DBP1	YPL119C	P24784	S000006040
7862_at	YPL118W Component of small subunit of the mitochondrial ribosome	Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences	MRP51	YPL118W	Q02950	S000006039
7863_at	YPL117C Isopentenyl diphosphate:dimethylallyl diphosphate isomerase (IPP isomerase)	"Isopentenyl diphosphate:dimethylallyl diphosphate isomerase (IPP isomerase), catalyzes an essential activation step in the isoprenoid biosynthetic pathway; required for viability"	IDI1	YPL117C	P15496	S000006038
7864_at	"YPL116W Protein with similarity to Hda1p, Rpd3p, Hos2p, and Hos1p"	"Trichostatin A-insensitive homodimeric histone deacetylase (HDAC) with specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increased histone acetylation at rDNA repeats"	HOS3	YPL116W	Q02959	S000006037
7865_at	YPL115C has GTPase-activating protein activity toward the essential bud-site assembly GTPase Cdc42	"Rho GTPase activating protein (RhoGAP) involved in control of the cytoskeleton organization; targets the essential Rho-GTPase Cdc42p, which controls establishment and maintenance of cell polarity, including bud-site assembly"	BEM3	YPL115C	P32873	S000006036
7866_at	YPL114W questionable ORF	---	---	YPL114W	O13518	S000006035
7867_at	YPL113C similarity to glycerate dehydrogenases	---	---	YPL113C	Q02961	S000006034
7868_at	YPL112C weak similarity to YOR193w	"Peripheral peroxisomal membrane peroxin required for the regulation of peroxisome size and maintenance, recruits GTPase Rho1p to peroxisomes, induced by oleate, interacts with homologous protein Pex27p"	PEX25	YPL112C	Q02969	S000006033
7869_at	YPL111W arginase	"Arginase, responsible for arginine degradation, expression responds to both induction by arginine and nitrogen catabolite repression; disruption enhances freeze tolerance"	CAR1	YPL111W	P00812	S000006032
7870_at	"YPL110C similarity to C.elegans hypothetical protein, weak similarity to Pho81p"	"Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes"	GDE1	YPL110C	Q02979	S000006031
7871_at	YPL109C similarity to aminoglycoside acetyltransferase regulator from P. stuartii	---	---	YPL109C	Q02981	S000006030
7872_at	YPL108W hypothetical protein	---	---	YPL108W	Q02872	S000006029
7873_at	YPL107W hypothetical protein	---	---	YPL107W	Q02873	S000006028
7874_at	"YPL106C HSP70 family member, highly homologous to Ssa1p and Sse2p"	ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm	SSE1	YPL106C	P32589	S000006027
7875_at	YPL105C similarity to Smy2p	"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	SYH1	YPL105C	Q02875	S000006026
7876_at	"YPL104W Aspartyl-tRNA synthetase, mitochondrial"	"Mitochondrial aspartyl-tRNA synthetase, required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"	MSD1	YPL104W	P15179	S000006025
7877_at	YPL103C similarity to hypothetical M. tuberculosis protein	Protein of unknown function proposed to be involved in N-acylethanolamine metabolism; related to human NAPE-selective phospholipase D enzyme; native protein is detected in highly purified mitochondria in high-throughput studies	FMP30	YPL103C	Q02883	S000006024
7878_at	YPL102C questionable ORF	---	---	YPL102C	O13517	S000006023
7879_at	YPL146C weak similarity to myosin heavy chain proteins	Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p; null mutant is viable but growth is severely impaired	NOP53	YPL146C	Q12080	S000006067
7880_at	YPL145C Homologous to human oxysterol-binding protein\; implicated in ergosterol biosynthesis and regulation of Golgi-derived transport vesicle biogenesis	"Member of the oxysterol binding protein family, which includes seven yeast homologs; involved in negative regulation of Sec14p-dependent Golgi complex secretory functions, peripheral membrane protein that localizes to the Golgi complex"	KES1	YPL145C	P35844 /// Q6Q5I1	S000006066
7881_at	"YPL144W encodes snRNA U3, SNR17A also encodes snRNA U3"	Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions	POC4	YPL144W	Q12245	S000006065
7882_f_at	YPL143W Ribosomal protein L33A (L37A) (YL37) (rp47)	"N-terminally acetylated ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Bp and has similarity to rat L35a; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable"	RPL33A	YPL143W	P05744	S000006064
7883_at	YPL142C questionable ORF	---	---	YPL142C	Q08916	S000006063
7884_at	YPL141C strong similarity to protein kinase Kin4p	---	---	YPL141C	Q03002	S000006062
7885_at	YPL140C protein kinase	"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p"	MKK2	YPL140C	P32491	S000006061
7886_at	YPL139C Transcriptional modulator	"Negative regulator of meiosis, required for repression of a subset of meiotic genes during vegetative growth, binding of histone deacetylase Rpd3p required for activity, contains a NEE box and a WD repeat motif; homologous with Wtm1p, Wtm2p"	UME1	YPL139C	Q03010	S000006060
7887_at	YPL138C weak similarity to fruit fly polycomblike nuclear protein	"Subunit of COMPASS (Set1C), a complex which methylates histone H3 on lysine 4 and is required in telomeric transcriptional silencing; interacts with Orc2p; PHD finger domain protein similar to human CGBP, an unmethylated CpG binding protein"	SPP1	YPL138C	Q03012	S000006059
7888_at	YPL137C similarity to microtubule-interacting protein Mhp1p and to hypothetical protein YOR227w	"Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; may interact with ribosomes, based on co-purification experiments"	GIP3	YPL137C	Q03016	S000006058
7889_at	YPL136W questionable ORF	---	---	YPL136W	O13519	S000006057
7890_at	YPL135W NifU-like protein A	"Conserved protein of the mitochondrial matrix, performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); isu1 isu2 double mutant is inviable"	ISU1	YPL135W	Q03020	S000006056
7891_at	YPL134C similarity to ADP/ATP carrier proteins	"Mitochondrial inner membrane transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation"	ODC1	YPL134C	Q03028	S000006055
7892_at	YPL133C weak similarity to transcription factors	Zinc cluster transcriptional activator involved in conferring resistance to ketoconazole	RDS2	YPL133C	P19541	S000006054
7893_at	YPL132W Putative heme A biosynthetic enzyme involved in forming the formyl group at position 8 of the porphyrin ring	Mitochondrial inner membrane protein required for delivery of copper to the Cox1p subunit of cytochrome c oxidase; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p	COX11	YPL132W	P19516	S000006053
7894_at	YPL131W Ribosomal protein L5 (L1a)(YL3)	Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly	RPL5	YPL131W	P26321	S000006052
7895_at	YPL130W hypothetical protein	"Meiosis-specific protein of unknown function, involved in completion of nuclear divisions; identified as a weak high-copy suppressor of the spo1-1 ts mutation; putative GPI-dependent cell-wall protein"	SPO19	YPL130W	Q03029	S000006051
7896_at	"YPL129W TFIIF subunit (transcription initiation factor), 30 kD"	"Subunit of TFIID, TFIIF, INO80, SWI/SNF, and NuA3 complexes, involved in RNA polymerase II transcription initiation and in chromatin modification; contains a YEATS domain"	TAF14	YPL129W	P35189	S000006050
7897_at	YPL128C TTAGGG repeat binding factor	Telobox-containing general regulatory factor; binds to TTAGGG repeats within subtelomeric anti-silencing regions (STARs) and possibly throughout the genome and mediates their insulating capacity by blocking silent chromatin propagation	TBF1	YPL128C	Q02457	S000006049
7898_at	YPL127C histone H1	"Histone H1, a linker histone required for nucleosome packaging at restricted sites; suppresses DNA repair involving homologous recombination; not required for telomeric silencing, basal transcriptional repression, or efficient sporulation"	HHO1	YPL127C	P53551	S000006048
7899_at	YPL126W weak similarity to fruit fly TFIID subunit p85	"U3 snoRNP protein, component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA"	NAN1	YPL126W	Q02931	S000006047
7900_at	YPL125W weak similarity to YDR395w and  cellular apoptosis susceptibility protein	Karyopherin with a role in the assembly or export of 60S ribosomal subunits	KAP120	YPL125W	Q02932	S000006046
7901_at	YPL124W Nuclear import protein	"Inner plaque spindle pole body (SPB) component, links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication"	SPC29	YPL124W	P33419	S000006045
7902_at	YPL168W weak similarity to E.coli bfpB protein	---	---	YPL168W	Q12467	S000006089
7903_at	YPL167C DNA polymerase	"Catalytic subunit of DNA polymerase zeta, which is involved in DNA repair and translesion synthesis; required for mutagenesis induced by DNA damage"	REV3	YPL167C	P14284	S000006088
7904_at	YPL166W weak similarity to paramyosins	Autophagy-specific protein that is required for recruitment of other ATG proteins to the pre-autophagosomal structure (PAS); interacts with Atg17p and localizas to the PAS in a manner interdependent with Atg17p and Cis1p; not conserved	ATG29	YPL166W	Q12092	S000006087
7905_at	YPL165C weak similarity to YHR207c	"SET domain protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability"	SET6	YPL165C	Q12529	S000006086
7906_at	YPL164C similarity to mismatch repair protein Mlh1p	Protein involved in DNA mismatch repair and crossing-over during meiotic recombination; forms a complex with Mlh1p; mammalian homolog is implicated mammalian microsatellite instability	MLH3	YPL164C	Q12083	S000006085
7907_at	YPL163C Serine and threonine rich protein.	"Cell wall and vacuolar protein, required for wild-type resistance to vanadate"	SVS1	YPL163C	Q12254	S000006084
7908_at	YPL162C hypothetical protein	---	---	YPL162C	Q12042	S000006083
7909_at	YPL161C Involved in polarity establishment and bud emergence\; interacts with the Rho1p small GTP-binding protein	Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-type GTPase Cdc42p; involved in maintenance of proper telomere length	BEM4	YPL161C	P39011	S000006082
7910_at	YPL160W cytosolic leucyl tRNA synthetase	"Cytosolic leucyl tRNA synthetase, ligates leucine to the appropriate tRNA"	CDC60	YPL160W	P26637	S000006081
7911_at	YPL159C weak similarity to YPR151c	"Mitochondrial protein, required for respiratory growth under some conditions and for stability of the mitochondrial genome"	PET20	YPL159C	Q99373	S000006080
7912_at	YPL158C weak similarity to human nucleolin	---	---	YPL158C	Q99299	S000006079
7913_at	YPL157W weak similarity to S.pombe hypothetical protein SPAC2G11.15c	"Trimethyl guanosine synthase, conserved nucleolar methyl transferase that converts the m(7)G cap structure of snRNAs, snoRNAs, and telomerase TLC1 RNA to m(2,2,7)G; also required for ribosome synthesis and nucleolar morphology"	TGS1	YPL157W	Q12052	S000006078
7914_at	YPL156C weak similarity to YDL010w	"Pheromone-regulated protein, predicted to have 1 transmembrane segment; transcriptionally regulated by Ste12p during mating and by Cat8p during the diauxic shift"	PRM4	YPL156C	Q12498	S000006077
7915_at	YPL155C kinesin-related protein	"Kinesin-related motor protein involved in mitotic spindle positioning, stabilizes microtubules by targeting Bik1p to the plus end; Kip2p levels are controlled during the cell cycle"	KIP2	YPL155C	P28743	S000006076
7916_at	YPL154C vacuolar proteinase A	"Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; synthesized as a zymogen, self-activates"	PEP4	YPL154C	P07267	S000006075
7917_at	"YPL153C protein kinase, Mec1p and Tel1p regulate rad53p phosphorylation"	"Protein kinase, required for cell-cycle arrest in response to DNA damage; activated by trans autophosphorylation when interacting with hyperphosphorylated Rad9p; also interacts with ARS1 and plays a role in initiation of DNA replication"	RAD53	YPL153C	P22216	S000006074
7918_at	YPL152W Resistant to Rapamycin Deletion 2	"Activator of the phosphotyrosyl phosphatase activity of PP2A,peptidyl-prolyl cis/trans-isomerase; regulates G1 phase progression, the osmoresponse, microtubule dynamics; subunit of the Tap42p-Pph21p-Rrd2p complex"	RRD2	YPL152W	Q12461	S000006073
7919_at	YPL151C strong similarity to A.thaliana PRL1 and PRL2 proteins	Splicing factor that is found in the Cef1p subcomplex of the spliceosome	PRP46	YPL151C	Q12417	S000006072
7920_at	YPL150W similarity to ser/thr protein kinases	---	---	YPL150W	Q12152	S000006071
7921_at	YPL149W involved in autophagy	Conserved protein involved in autophagy and the Cvt pathway; undergoes conjugation with Atg12p to form a complex involved in Atg8p lipidation; conjugated Atg12p also forms a complex with Atg16p that is essential for autophagosome formation	ATG5	YPL149W	Q12380	S000006070
7922_at	YPL148C Phosphopantetheine	"Phosphopantetheine:protein transferase (PPTase), activates mitochondrial acyl carrier protein (Acp1p) by phosphopantetheinylation"	PPT2	YPL148C	Q12036	S000006069
7923_at	YPL147W Pxa1p and Pxa2p appear to be subunits of a peroxisomal ATP-binding cassette transporter necessary for transport of long-chain fatty acids into peroxisomes	"Subunit of a heterodimeric peroxisomal ATP-binding cassette transporter complex (Pxa1p-Pxa2p), required for import of long-chain fatty acids into peroxisomes; similarity to human adrenoleukodystrophy transporter and ALD-related proteins"	PXA1	YPL147W	P41909	S000006068
7924_at	YPL190C polyadenylated RNA-binding protein	Single stranded RNA binding protein; acidic ribonucleoprotein; required for termination of non-poly(A) transcripts and efficient splicing; interacts with Nrd1p	NAB3	YPL190C	P38996	S000006111
7925_at	YPL189W strong similarity to YGL084c	Probable membrane protein with a possible role in proton symport of glycerol; member of the MBOAT family of putative membrane-bound O-acyltransferases; Gup1p homolog	GUP2	YPL189W	Q08929	S000006110
7926_at	YPL188W similarity to Utr1p and YEL041w	"Mitochondrial NADH kinase, phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress"	POS5	YPL188W	Q06892	S000006109
7927_at	YPL187W mating factor alpha	"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor"	MF(ALPHA)1	YPL187W	P01149 /// Q02436	S000006108
7928_at	YPL186C weak similarity to Xenopus protein xlgv7	"Protein that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope"	UIP4	YPL186C	Q08926	S000006107
7929_at	YPL185W questionable ORF	---	---	YPL185W	Q08927	S000006106
7930_at	YPL184C weak similarity to Pub1p	---	---	YPL184C	Q08925	S000006105
7931_at	"YPL183W-A ribosomal protein L36, mitochondrial"	"Homolog of the prokaryotic ribosomal protein L36, likely to be a mitochondrial ribosomal protein coded in the nuclear genome; null mutation suppresses cdc13-1 temperature sensitivity"	RTC6	YPL183W-A	O14464	S000007224
7932_at	YPL183C similarity to Taf90p	Cytoplasmic protein with a role in regulation of Ty1 transposition	RTT10	YPL183C	Q08924	S000006104
7933_at	YPL182C questionable ORF	---	---	YPL182C	Q08922	S000006103
7934_at	YPL181W weak similarity to YKR029c	Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain	CTI6	YPL181W	Q08923	S000006102
7935_at	YPL180W weak similarity to human l-caldesmon I	"Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin"	TCO89	YPL180W	Q08921	S000006101
7936_at	YPL179W protein phosphatase Q	Putative protein serine/threonine phosphatase; null mutation enhances efficiency of translational suppressors	PPQ1	YPL179W	P32945	S000006100
7937_at	YPL178W Small subunit of nuclear cap-binding protein complex	"Small subunit of the heterodimeric cap binding complex that also contains Sto1p, component of the spliceosomal commitment complex; interacts with Npl3p, possibly to package mRNA for export from the nucleus; contains an RNA-binding motif"	CBC2	YPL178W	Q08920	S000006099
7938_at	YPL177C putative DNA binding protein which shows similarity in homeobox domain to human proto-oncogene PBX1	"Homeodomain-containing transcriptional repressor of PTR2, which encodes a major peptide transporter; imported peptides activate ubiquitin-dependent proteolysis, resulting in degradation of Cup9p and de-repression of PTR2 transcription"	CUP9	YPL177C	P41817	S000006098
7939_at	YPL176C similarity to chinese hamster transferrin receptor protein	Plasma membrane protein that binds to Bsd2p and regulates ubiquitylation and vacuolar degradation of the metal transporter Smf1p; function is redundant with that of Tre2p; has similarity to transferrin receptors	TRE1	YPL176C	Q08919	S000006097
7940_at	YPL175W N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein	"UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol (GPI) biosynthesis, mutations cause defects in transcription and in biogenesis of cell wall proteins"	SPT14	YPL175W	P32363	S000006096
7941_at	YPL174C Nuclear import protein	"Large subunit of the dynactin complex, which is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)"	NIP100	YPL174C	P33420	S000006095
7942_at	YPL173W Mitochondrial ribosomal protein MRPL40 (YmL40)	Mitochondrial ribosomal protein of the large subunit	MRPL40	YPL173W	P36534	S000006094
7943_at	YPL172C Putative farnesyl transferase required for heme A synthesis	"Heme A:farnesyltransferase, catalyzes the first step in the conversion of protoheme to the heme A prosthetic group required for cytochrome c oxidase activity; human ortholog is associated with mitochondrial disorders"	COX10	YPL172C	P21592	S000006093
7944_at	YPL171C NAD(P)H dehydrogenase	"Widely conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye2p with slight differences in ligand binding and catalytic properties; may be involved in sterol metabolism"	OYE3	YPL171C	P41816 /// Q6B154	S000006092
7945_at	YPL170W similarity to C.elegans LIM homeobox protein	"Heme-binding protein involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis"	DAP1	YPL170W	Q12091	S000006091
7946_at	"YPL169C INvolved in nuclear mRNA export, binds both poly(A)"	"Poly(A)RNA binding protein involved in nuclear mRNA export, component of the nuclear pore; ortholog of human TAP"	MEX67	YPL169C	Q99257	S000006090
7947_at	YPL211W Nip7p is required for 60S ribosome subunit biogenesis	"Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p"	NIP7	YPL211W	Q08962	S000006132
7948_at	YPL210C component of signal recognition particle	Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	SRP72	YPL210C	P38688	S000006131
7949_at	YPL209C Protein kinase	"Aurora kinase involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase; associates with Sli15p, which promotes Ipl1p association with mitotic spindle"	IPL1	YPL209C	P38991	S000006130
7950_at	YPL208W similarity to YHL039w	"SET-domain lysine-N-methyltransferase, catalyzes the formation of dimethyllysine residues on the large ribsomal subunit protein L23a (RPL23A and RPL23B)"	RKM1	YPL208W	Q08961	S000006129
7951_at	"YPL207W similarity to hypthetical proteins from A. fulgidus, M. thermoautotrophicum and M. jannaschii"	"Protein required for the synthesis of wybutosine, a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions"	TYW1	YPL207W	Q08960	S000006128
7952_at	YPL206C weak similarity to glycerophosphoryl diester phosphodiesterases	Phosphatidyl Glycerol phospholipase C; regulates the phosphatidylglycerol (PG) content via a phospholipase C-type degradation mechanism; contains glycerophosphodiester phosphodiesterase motifs	PGC1	YPL206C	Q08959	S000006127
7953_at	YPL205C questionable ORF	---	---	YPL205C	Q08958	S000006126
7954_at	YPL204W casein kinase I isoform	"Protein kinase involved in regulating diverse events including vesicular trafficking, DNA repair, and chromosome segregation; binds the CTD of RNA pol II; homolog of mammalian casein kinase 1delta (CK1delta)"	HRR25	YPL204W	P29295	S000006125
7955_at	YPL203W cAMP-dependent protein kinase catalytic subunit	cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk1p and Tpk3p	TPK2	YPL203W	P06245	S000006124
7956_at	YPL202C similarity to cell size regulation protein Rcs1p	Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; similar to Aft1p	AFT2	YPL202C	Q08957	S000006123
7957_at	YPL201C hypothetical protein	Protein that interacts with glycerol 3-phosphatase and plays a role in anaerobic glycerol production; localizes to the nucleus and cytosol	YIG1	YPL201C	Q08956	S000006122
7958_at	YPL200W hypothetical protein	Protein required for accurate chromosome segregation during meiosis; involved in meiotic telomere clustering (bouquet formation) and telomere-led rapid prophase movements	CSM4	YPL200W	Q08955	S000006121
7959_at	YPL199C weak similarity to T.cruzi p284 protein	---	---	YPL199C	Q08954	S000006120
7960_i_at	YPL198W Ribosomal protein L7B (L6B) (rp11) (YL8)	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Ap and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"	RPL7B	YPL198W	Q12213	S000006119
7961_f_at	YPL198W Ribosomal protein L7B (L6B) (rp11) (YL8)	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Ap and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"	RPL7B	YPL198W	Q12213	S000006119
7962_s_at	YPL198W Ribosomal protein L7B (L6B) (rp11) (YL8)	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2) /// Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Ap and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"	RPL7A /// RPL7B	YGL076C /// YPL198W	P05737 /// Q12213	S000003044 /// S000006119
7963_at	YPL197C questionable ORF	---	---	YPL197C	Q08953	S000006118
